[INFO] 2016-12-11 16:51:10,256  Requesting to https://www.bing.com/search?q=domain:kakibolaclash.fo3.garena.com&first=1
[INFO] 2016-12-11 16:51:11,155  Requesting to https://www.bing.com/search?q=domain:t.garena.com&first=1
[INFO] 2016-12-11 16:51:12,190  Requesting to https://www.bing.com/search?q=domain:sso.garena.com&first=1
[INFO] 2016-12-11 16:51:12,884  Requesting to https://www.bing.com/search?q=domain:pickem.lol.garena.com&first=1
[INFO] 2016-12-11 16:51:13,897  Requesting to https://www.bing.com/search?q=domain:event.poe.garena.com&first=1
[INFO] 2016-12-11 16:51:14,737  Requesting to https://www.bing.com/search?q=domain:reset2ndpass.fo3.garena.com&first=1
[INFO] 2016-12-11 16:51:15,578  Requesting to https://www.bing.com/search?q=domain:career.garena.com&first=1
[INFO] 2016-12-11 16:51:16,565  Requesting to https://www.bing.com/search?q=domain:lol.garena.com&first=1
[INFO] 2016-12-11 16:51:16,566  Requesting to https://www.bing.com/search?q=domain:lol.garena.com&first=8
[INFO] 2016-12-11 16:51:16,569  Requesting to https://www.bing.com/search?q=domain:lol.garena.com&first=18
[INFO] 2016-12-11 16:51:17,878  Requesting to https://www.bing.com/search?q=domain:lolachievements.garena.com&first=1
[INFO] 2016-12-11 16:51:18,842  Requesting to https://www.bing.com/search?q=domain:auth.garena.com&first=1
[INFO] 2016-12-11 16:51:19,892  Requesting to https://www.bing.com/search?q=domain:ava.garena.com&first=1
[INFO] 2016-12-11 16:51:19,894  Requesting to https://www.bing.com/search?q=domain:ava.garena.com&first=8
[INFO] 2016-12-11 16:51:19,897  Requesting to https://www.bing.com/search?q=domain:ava.garena.com&first=18
[INFO] 2016-12-11 16:51:21,096  Requesting to https://www.bing.com/search?q=domain:poe.garena.com&first=1
[INFO] 2016-12-11 16:51:22,119  Requesting to https://www.bing.com/search?q=domain:web.poe.garena.com&first=1
[INFO] 2016-12-11 16:51:22,842  Requesting to https://www.bing.com/search?q=domain:beta-launch.garena.com&first=1
